table,sourceType,targetType,relType_name,relType_type,count_subset,count_table,notes
relation_product_datasource_20260129,product,datasource,isProvidedBy,provision,"572,294,359","1,047,961,084",
relation_product_datasource_20260129,product,datasource,isHostedBy,provision,"475,627,074","1,047,961,084",
relation_product_datasource_20260129,product,datasource,IsRelatedTo,relationship,"39,651","1,047,961,084",
relation_product_organization_20260129,product,organization,hasAuthorInstitution,affiliation,"322,044,675","322,587,713",
relation_product_organization_20260129,product,organization,HasPart,part,"543,038","322,587,713",
relation_product_project_20260129,product,project,isProducedBy,outcome,"10,058,014","10,078,276",
relation_product_project_20260129,product,project,HasPart,part,"20,262","10,078,276",
relation_organization_project_20260129,organization,project,isParticipant,participation,"4,536,145","4,536,145",
relation_organization_datasource_20260129,organization,datasource,provides,provision,"56,997","56,997",
relation_organization_organization_20260129,organization,organization,IsChildOf,relationship,"6,251","12,506",includes reciprocal relationships
relation_organization_organization_20260129,organization,organization,IsParentOf,relationship,"6,255","12,506",includes reciprocal relationships
relation_community_20260129,community,product,IsRelatedTo,relationship,"95,201,519","95,256,660",
relation_community_20260129,community,project,IsRelatedTo,relationship,"53,180","95,256,660",
relation_community_20260129,community,datasource,IsRelatedTo,relationship,"1,523","95,256,660",
relation_community_20260129,community,organization,IsRelatedTo,relationship,438,"95,256,660",
relation_product_product_cites_20260129,product,product,Cites,citation,"2,312,632,665","2,312,632,665",
relation_product_product_iscitedby_20260129,product,product,IsCitedBy,citation,"450,228,252","450,228,252",
relation_product_product_other_20260129,product,product,IsRelatedTo,relationship,"148,487,124","1,020,934,008",
relation_product_product_other_20260129,product,product,IsDerivedFrom,relationship,"793,182,427","1,020,934,008",
relation_product_product_other_20260129,product,product,IsAmongTopNSimilarDocuments,similarity,"63,283,329","1,020,934,008",
relation_product_product_other_20260129,product,product,References,relationship,"5,453,630","1,020,934,008",
relation_product_product_other_20260129,product,product,HasPart,part,"5,369,885","1,020,934,008",
relation_product_product_other_20260129,product,product,IsSupplementTo,supplement,"2,828,424","1,020,934,008",
relation_product_product_other_20260129,product,product,IsNewVersionOf,version,"755,204","1,020,934,008",
relation_product_product_other_20260129,product,product,Continues,relationship,"372,004","1,020,934,008",
relation_product_product_other_20260129,product,product,HasVersion,version,"557,255","1,020,934,008",
relation_product_product_other_20260129,product,product,Documents,relationship,"370,062","1,020,934,008",
relation_product_product_other_20260129,product,product,IsIdenticalTo,relationship,"110,674","1,020,934,008",
relation_product_product_other_20260129,product,product,IsOriginalFormOf,version,"80,909","1,020,934,008",
relation_product_product_other_20260129,product,product,Reviews,review,"44,825","1,020,934,008",
relation_product_product_other_20260129,product,product,Compiles,relationship,"33,895","1,020,934,008",
relation_product_product_other_20260129,product,product,Obsoletes,version,"3,728","1,020,934,008",
relation_product_product_other_20260129,product,product,Describes,relationship,414,"1,020,934,008",
relation_product_product_other_20260129,product,product,Requires,relationship,156,"1,020,934,008",
relation_product_product_other_20260129,product,product,IsMetadataFor,relationship,63,"1,020,934,008",
