filename,sourceType,targetType,relType_name,relType_type,count_documented,count_observed,count_match
datasource_hosts,datasource,product,hosts,provision,"981,889,144","981,889,144",TRUE
datasource_provides,datasource,product,provides,provision,"588,227,647","1,185,030,123",FALSE
organization_IsChildOf,organization,organization,IsChildOf,relationship,"6,280","6,280",TRUE
organization_provides,organization,datasource,provides,provision,"58,900","59,234",FALSE
person_authorAffiliation,person,organization,authorAffiliation,,"7,435,371","7,419,788",FALSE
person_authorship,person,product,authorship,,"234,256,888","234,256,888",TRUE
person_coAuthorship,person,person,coAuthorship,,"372,872,930","376,504,588",FALSE
person_projectParticipation,person,project,projectParticipation,,"831,589","837,055",FALSE
product_Cites,product,product,Cites,citation,"2,348,459,637","2,348,459,637",TRUE
product_Compiles,product,product,Compiles,relationship,"35,342","35,342",TRUE
product_Continues,product,product,Continues,relationship,"377,264","377,264",TRUE
product_Describes,product,product,Describes,relationship,"6,700","6,700",TRUE
product_Documents,product,product,Documents,relationship,"372,295","372,295",TRUE
product_hasAuthorInstitution,product,organization,hasAuthorInstitution,affiliation,"371,332,267","371,332,267",TRUE
product_HasPart,product,"organization,product,project",HasPart,part,"6,431,551","6,431,551",TRUE
product_HasVersion,product,product,HasVersion,version,"630,645","630,645",TRUE
product_IsIdenticalTo,product,product,IsIdenticalTo,relationship,"108,874","108,874",TRUE
product_IsMetadataOf,product,product,IsMetadataOf,relationship,854,845,FALSE
product_IsNewVersionOf,product,product,IsNewVersionOf,version,"787,815","787,815",TRUE
product_IsOriginalFormOf,product,product,IsOriginalFormOf,version,"84,882","84,882",TRUE
product_IsRelatedTo,"community,datasource,organization,product,project","datasource,community,organization,product,project",IsRelatedTo,relationship,"535,491,925","535,491,925",TRUE
product_IsSourceOf,product,product,IsSourceOf,relationship,"869,811,568","869,811,568",TRUE
product_IsSupplementTo,product,product,IsSupplementTo,supplement,"2,908,261","2,908,261",TRUE
product_Obsoletes,product,product,Obsoletes,version,"2,814","2,814",TRUE
product_References,product,product,References,relationship,"5,598,520","5,598,520",TRUE
product_Requires,product,product,Requires,relationship,"1,869","1,869",TRUE
product_Reviews,product,product,Reviews,review,"47,027","47,027",TRUE
project_hasParticipant,project,organization,hasParticipant,participation,"5,550,746","5,550,746",TRUE
project_produces,project,product,produces,outcome,"10,038,714","10,038,714",TRUE
